"page #",x,y,text
1,1133.3146007543,1923.6157196971,"規 定，經制止不聽者，按次連續處罰。"
1,1133.3146007543,1945.3907396936,"政 黨、法人或非法人團體違反第五十二條第一項或第二項規定者，依第一項規定，併處罰其代表人及"
1,1133.3146007543,1967.1676196902,"行 為人；違反第五十三條或第五十六條規定者，依前項規定，併處罰其代表人及行為人。"
1,1133.3146007543,1988.9426396868,"委 託大眾傳播媒體，刊播競選廣告或委託夾報散發宣傳品，違反第五十六條第二款規定者，依第六項"
1,1133.3146007543,2010.7195196834,"規 定，處罰委託人及受託人。"
1,1133.3146007543,2032.4945396799,"將 選舉票或罷免票以外之物投入票匭，或故意撕毀領得之選舉票或罷免票者，處新臺幣五千元以上五"
1,1133.3146007543,2054.2695596765,"萬 元以下罰鍰。"
1,1133.3146007543,2076.0464396731,"第 一百十一條　犯第九十七條第二項之罪或刑法第一百四十三條第一項之罪，於犯罪後三個月內自首者，免除其刑；"
1,1133.3146007543,2097.8214596696,"逾 三個月者，減輕或免除其刑；在偵查或審判中自白者，減輕其刑。"
1,1133.3146007543,2119.5983396662,"意 圖他人受刑事處分，虛構事實，而為前項之自首者，依刑法誣告罪之規定處斷。"
1,1133.3146007543,2141.3733596628,"第 一百十二條　政黨推薦之候選人犯第九十四條至第九十六條、第九十七條第一項、第二項、第九十八條第一項第一"
1,1133.3146007543,2163.1483796593,"款 或其未遂犯、第九十九條、第一百零二條第一項第一款或其預備犯、第一百零九條、刑法第一百四"
1,1133.3146007543,2184.9252596559,"十 二條或第一百四十五條至第一百四十七條之罪，經判刑確定者，按其確定人數，各處推薦之政黨新"
1,1133.3146007543,2206.7002796525,"臺 幣五十萬元以上五百萬元以下罰鍰。"
1,1133.3146007543,2228.4771596491,"政 黨推薦之候選人，對於其他候選人犯刑法第二百七十一條、第二百七十七條、第二百七十八條、第"
1,1133.3146007543,2250.2540396456,"三 百零二條、第三百零四條、第三百零五條、第三百四十六條至第三百四十八條或其特別法之罪，經"
1,1133.3146007543,2272.0290596422,"判 刑確定者，依前項規定處罰。"
1,1133.3146007543,2293.8059396388,"第 一百十三條　犯本章之罪，其他法律有較重處罰之規定者，從其規定。"
1,1133.3146007543,2315.5809596353,"辦 理選舉、罷免事務人員，假借職務上之權力、機會或方法，以故意犯本章之罪者，加重其刑至二分"
1,1133.3146007543,2337.3559796319,"之 一。"
1,1133.3146007543,2359.1328596285,"犯 本章之罪或刑法分則第六章之妨害投票罪，宣告有期徒刑以上之刑者，並宣告褫奪公權。"
1,1133.3146007543,2380.9078796251,"第 一百十四條　已登記為候選人之現任公務人員，有下列情形之一者，經選舉委員會查明屬實後，通知各該人員之主"
1,1133.3146007543,2402.6847596216,"管 機關先行停止其職務，並依法處理："
1,1133.3146007543,2424.4597796182,"一 、無正當理由拒絕選舉委員會請協辦事項或請派人員。"
1,1133.3146007543,2446.2366596148,"二 、干涉選舉委員會人事或業務。"
1,1133.3146007543,2468.0116796113,"三 、藉名動用或挪用公款作競選之費用。"
1,1133.3146007543,2489.7866996079,"四 、要求有部屬或有指揮、監督關係之團體暨各該團體負責人作競選之支持。"
1,1133.3146007543,2511.5635796045,"五 、利用職權無故調動人員，對競選預作人事之安排。"
1,1133.3146007543,2533.338599601,"第 一百十五條　中央公職人員選舉，由最高法院檢察署檢察總長督率各級檢察官；地方公職人員選舉，由該管法院檢"
1,1133.3146007543,2555.1154795976,"察 署檢察長督率所屬檢察官，分區查察，自動檢舉有關妨害選舉、罷免之刑事案件，並接受機關、團"
1,1133.3146007543,2576.8904995942,"體 或人民是類案件之告發、告訴、自首，即時開始偵查，為必要之處理。"
1,1133.3146007543,2598.6655195908,"前 項案件之偵查，檢察官得依刑事訴訟法及調度司法警察條例等規定，指揮司法警察人員為之。"
1,1133.3146007543,2620.4423995873,"第 一百十六條　犯本章之罪或刑法第六章妨害投票罪之案件，各審受理法院應於六個月內審結。"
1,1133.3146007543,2642.2174195839,"第 一百十七條　當選人犯第九十七條第一項至第三項、第九十九條第一項、第二項、第一百條第一項至第三項、第一"
1,1133.3146007543,2663.9942995805,"百 零二條第一項第一款或其預備犯或第一百零三條之罪，經法院判處有期徒刑以上之刑而未受緩刑之"
1,1133.3146007543,2685.771179577,"宣 告者，自判決之日起，當然停止其職務或職權。"
1,1133.3146007543,2707.5461995736,"依 前項停止職務或職權之人員，經改判無罪時，於其任期屆滿前復職。"
1,1133.3146007543,2729.3230795702,"2 .妨害投票罪（刑法分則第六章）："
1,1133.3146007543,2751.0980995668,"第 一百四十二條　以強暴脅迫或其他非法之方法，妨害他人自由行使法定之政治上選舉或其他投票權者，處五年以下"
1,1133.3146007543,2772.8749795633,"有 期徒刑。"
1,1133.3146007543,2794.6499995599,"前 項之未遂犯罰之。"
1,1133.3146007543,2816.4250195565,"第 一百四十三條　有投票權之人，要求、期約或收受賄賂或其他不正利益，而許以不行使其投票權或為一定之行使者"
1,1133.3146007543,2838.201899553,"， 處三年以下有期徒刑，得併科五千元以下罰金。"
1,1133.3146007543,2859.9769195496,"犯 前項之罪者，所收受之賄賂沒收之。如全部或一部不能沒收時，追徵其價額。"
1,1133.3146007543,2881.7537995462,"第 一百四十五條　以生計上之利害，誘惑投票人不行使其投票權或為一定之行使者，處三年以下有期徒刑。"
1,1133.3146007543,2903.5288195428,"第 一百四十六條　以詐術或其他非法之方法，使投票發生不正確之結果或變造投票之結果者，處五年以下有期徒刑。"
1,1133.3146007543,2925.3038395393,"意 圖使特定候選人當選，以虛偽遷徙戶籍取得投票權而為投票者，亦同。"
1,1133.3146007543,2947.0788595359,"前 二項之未遂犯罰之。"
1,1133.3146007543,2968.8538795325,"第 一百四十七條　妨害或擾亂投票者，處二年以下有期徒刑、拘役或五百元以下罰金。"
1,1133.3146007543,2990.630759529,"第 一百四十八條　於無記名之投票，刺探票載之內容者，處三百元以下罰金。"
1,80.820000018137,1052.6084008342,選舉投票有關規定：
1,80.820000018137,1096.1510008274,(二)選舉人資格：
1,78.817810517688,1117.9223008239,"中 華民國國民年滿二十歲，即民國八十三年十一月二十九日（包括當日）以前出生，除受監護宣告尚未撤銷者外"
1,78.817810517688,1139.6936008205,"， 在各該選舉區內繼續居住四個月以上，即民國一百零三年七月二十九日（包括當日）以前遷入設有戶籍，至民國一"
1,78.817810517688,1161.4649008171,"百 零三年十一月二十八日繼續居住者，有里長選舉投票權。"
1,78.817810517688,1183.2362008137,
1,78.817810517688,1205.0075008102,(三)選舉人投票應注意事項：
1,78.817810517688,1226.7788008068,
1,78.817810517688,1357.4066007862,"2 .投票時攜帶本人國民身分證、印章及投票通知單；未攜帶投票通知單者，務請記住投票通知單上之號碼，於領票時"
1,78.817810517688,1379.1779007828,"告 知發票管理員。"
1,78.817810517688,1400.9492007794,"3 .選舉人應於規定之投票時間內到場投票，逾時不許入場，但已於規定時間內到場，尚未投票者仍可投票。選舉人應"
1,78.817810517688,1422.7205007759,"一 次進入投票所投票，離開投票所後，不得再次進入投票所投票。"
1,78.817810517688,1444.4918007725,"4 .選舉人或其陪同家屬不得攜帶手機及其他攝影器材進入投票所，違反者依公職人員選舉罷免法第一百零六條第一項"
1,78.817810517688,1466.2631007691,"規 定，處新臺幣三萬元以上三十萬元以下罰鍰。"
1,78.817810517688,1488.0344007657,
1,78.817810517688,1531.5770007588,"6 .選舉人圈選後，不得將圈選內容出示他人，違者依公職人員選舉罷免法第一百零五條規定，處二年以下有期徒刑、"
1,78.817810517688,1553.3483007554,"拘 役或科新臺幣二十萬元以下罰金。"
1,78.817810517688,1575.1196007519,"7 .在投票所或開票所有下列情事之一者，經投票所主任管理員會同主任監察員令其退出，而不退出者，依公職人員選"
1,78.817810517688,1596.8909007485,"舉 罷免法第一百零五條之規定，處二年以下有期徒刑、拘役或科新臺幣二十萬元以下罰金："
1,78.817810517688,1618.6622007451,（1）在場喧嚷或干擾勸誘他人投票或不投票，不服制止。
1,78.817810517688,1640.4335007417,（2）攜帶武器或危險物品入場。
1,78.817810517688,1662.2048007382,（3）有其他不正當行為，不服制止。
1,78.817810517688,1683.9761007348,"8 .選舉人領得選舉票後，應立即使用選舉機關製備之圈選工具，自行圈選，並將選舉票摺疊投入票匭，不得逗留；如"
1,78.817810517688,1705.7474007314,"將 選舉票攜出投票所者，依公職人員選舉罷免法第一百零八條第一項規定，處一年以下有期徒刑、拘役或科新臺幣"
1,78.817810517688,1727.5187007279,"一 萬五千元以下罰金；如將選舉票以外之物投入票匭，或故意撕毀領得之選舉票者，依公職人員選舉罷免法第一百"
1,78.817810517688,1749.2900007245,"一 十條第八項之規定，處新臺幣五千元以上五萬元以下罰鍰。"
1,78.817810517688,1771.0613007211,"9 .在投票所四周三十公尺內，喧嚷或干擾勸誘他人投票或不投票，經警衛人員制止後仍繼續為之者，依公職人員選舉"
1,78.817810517688,1792.8326007177,"罷 免法第一百零八條第二項規定，處一年以下有期徒刑、拘役或科新臺幣一萬五千元以下罰金。"
1,78.817810517688,1814.6039007142,"1 0.選舉票圈選示範圖如下（依公職人員選舉罷免各種書件表冊格式七之（三）地方公職人員選舉選舉票式樣）："
1,78.817810517688,1988.7724406868,
1,78.817810517688,2206.4835806525,(五)選舉票有下列情形之一者無效：
1,78.817810517688,2228.2548806491,"1 .圈選二人以上。                              6 .將選舉票撕破致不完整。"
1,78.817810517688,2250.0261806457,"2 .不用選舉委員會製發之選舉票。               7 .將選舉票污染致不能辨別所圈選為何人。"
1,78.817810517688,2271.7974806422,"3 .所圈位置不能辨別為何人。                    8.不加圈完全空白。"
1,78.817810517688,2293.5687806388,"4 .圈後加以塗改。                              9.不用選舉委員會製備之圈選工具。"
1,78.817810517688,2315.3400806354,"5 .簽名、蓋章、按指印、加入任何文字或符號。"
1,78.817810517688,2337.111380632,(六)妨害選舉之處罰：
1,78.817810517688,2358.8826806285,"1 .妨害選舉罷免處罰（摘錄公職人員選舉罷免法第五章有關規定）。"
1,78.817810517688,2380.6539806251,"第 九十三條  違 反第五十五條第一款規定者，處七年以上有期徒刑；違反第二款規定者，處五年以上有期徒刑；違反"
1,78.817810517688,2402.4252806217,"第 三款規定者，依各該有關處罰之法律處斷。"
1,78.817810517688,2424.1965806182,"第 九十四條  利 用競選或助選機會，公然聚眾，以暴動破壞社會秩序者，處七年以上有期徒刑；首謀者，處無期徒刑"
1,78.817810517688,2445.9678806148,"或 十年以上有期徒刑。"
1,78.817810517688,2467.7391806114,"前 項之未遂犯罰之。"
1,78.817810517688,2489.510480608,"第 九十五條  意 圖妨害選舉或罷免，對於公務員依法執行職務時，施強暴脅迫者，處五年以下有期徒刑。"
1,78.817810517688,2511.2817806045,"犯 前項之罪，因而致公務員於死者，處無期徒刑或七年以上有期徒刑；致重傷者，處三年以上十年以下"
1,78.817810517688,2533.0530806011,"有 期徒刑。"
1,78.817810517688,2554.8243805977,"第 九十六條　公然聚眾，犯前條之罪者，在場助勢之人，處三年以下有期徒刑、拘役或科新臺幣三十萬元以下罰金；"
1,78.817810517688,2576.5956805942,"首 謀及下手實施強暴脅迫者，處三年以上十年以下有期徒刑。"
1,78.817810517688,2598.3669805908,"犯 前項之罪，因而致公務員於死者，首謀及下手實施強暴脅迫者，處無期徒刑或七年以上有期徒刑；致"
1,78.817810517688,2620.1382805874,"重 傷者，處五年以上十二年以下有期徒刑。"
1,78.817810517688,2641.909580584,"第 九十七條　對於候選人或具有候選人資格者，行求期約或交付賄賂或其他不正利益，而約其放棄競選或為一定之競"
1,78.817810517688,2663.6808805805,"選 活動者，處三年以上十年以下有期徒刑，併科新臺幣二百萬元以上二千萬元以下罰金。"
1,78.817810517688,2685.4521805771,"候 選人或具有候選人資格者，要求期約或收受賄賂或其他不正利益，而許以放棄競選或為一定之競選活"
1,78.817810517688,2707.2234805737,"動 者，亦同。"
1,78.817810517688,2728.9947805702,"預 備犯前二項之罪者，處一年以下有期徒刑。"
1,78.817810517688,2750.7660805668,"預 備或用以行求期約或交付之賄賂，不問屬於犯人與否，沒收之；犯第二項之罪者，所收受之賄賂沒收"
1,78.817810517688,2772.5373805634,"之 ；如全部或一部不能沒收時，追徵其價額。"
1,78.817810517688,2794.30868056,"第 九十八條　以強暴、脅迫或其他非法之方法為下列行為之一者，處五年以下有期徒刑："
1,78.817810517688,2816.0799805565,"一 、妨害他人競選或使他人放棄競選。"
1,78.817810517688,2837.8512805531,"二 、妨害他人為罷免案之提議、連署或使他人為罷免案之提議、連署。"
1,78.817810517688,2859.6225805497,"前 項之未遂犯罰之。"
1,78.817810517688,2881.3938805462,"第 九十九條  對 於有投票權之人，行求期約或交付賄賂或其他不正利益，而約其不行使投票權或為一定之行使者，處"
1,78.817810517688,2903.1651805428,"三 年以上十年以下有期徒刑，得併科新臺幣一百萬元以上一千萬元以下罰金。"
1,78.817810517688,2924.9364805394,"預 備犯前項之罪者，處一年以下有期徒刑。"
1,78.817810517688,2946.707780536,"預 備或用以行求期約或交付之賄賂，不問屬於犯人與否，沒收之。"
1,78.817810517688,2968.4790805325,"犯 第一項或第二項之罪，於犯罪後六個月內自首者，減輕或免除其刑；因而查獲候選人為正犯或共犯者"
1,78.817810517688,2990.2503805291,"， 免除其刑。"
1,78.817810517688,3012.0216805257,
1,78.817810517688,3033.7929805222,
1,78.817810517688,1074.3685408308,(一)投票時間：民國一百零三年十一月二十九日（星期六）上午八時起至下午四時止。
1,115.4172585259,1226.7676408068,1.投開票地點：
1,115.4172585259,1488.0251007657,5.任何人不得於投票所以攝影器材刺探選舉人圈選選舉票內容。違反者依公職人員選舉罷免法第一百零六條第二項規
1,78.817810517688,1509.7964007622,"定 ，處五年以下有期徒刑，併科新臺幣五十萬元以下罰金，查獲之攝影器材沒收之。"
1,78.817810517688,2184.702980656,(四)選舉票顏色：里長選舉票為粉紅色。
1,612.2565526374,1161.4518808171,【上項居住期間，在行政區域劃分選舉區者，仍以行政區
1,115.4172585259,1183.2231808137,域為範圍計算之。但於選舉公告發布（一百零三年八月二十一日含當日）後，遷入各該選舉區者，無選舉投票權。】
1,591.3100006327,1835.6615997109,圈選欄
1,591.3100006327,1905.2609877,"號次欄 相片欄"
1,591.3100006327,2049.8038001772,候選人姓名欄
1,661.85860064853,1914.2516006985,"號次 相片"
1,661.85860064853,2079.3642551725,"姓   名"
1,137.01040053075,1850.1335997086,※請使用選舉委員會製備之圈選工具圈蓋選舉票，
1,137.01040053075,1871.9048997052,"選 舉票「蓋章」或「按指印」，無效。"
1,285.29860056403,3052.9838005192,"遵 守 選 舉 法 令 ， 宏 揚 法 治 精 神"
1,1340.1826008008,3052.7978005192,"踴 躍 投 票 ， 慎 重 圈 選 勿 用 私 章"
1,99.673000522368,210.1954004669,"高雄市 竹南 里長選舉選舉公報第２屆前鎮區 里"
1,498.81379961194,300.76520095264,竹南
1,526.08580061806,896.74720035878,女
1,636.40240064282,813.16240037194,民主進步黨
1,890.37460069981,895.9828003589,現任竹南里里長
1,584.05380013107,843.96479986709,台中市
1,472.39540060601,822.57119987046,43
1,472.39540060601,851.05120036598,年
1,480.09540010774,881.58119986117,6
1,472.39540060601,910.06120035668,月
1,472.39540060601,940.59119985188,20
1,472.39540060601,969.07120034739,日
1,682.57740015318,895.93319985891,初中畢業
1,382.60860008586,780.77540087704,"蔡 翠 屏"
1,1353.4498008037,896.03440035889,二十四小時專業為民服務
1,526.08580061806,632.85239990034,男
1,636.40240064282,611.19680090375,無
1,890.37460069981,569.96060091024,一.高雄市議員莊啟旺前鎮服務處主任。
1,890.37460069981,601.16060090533,二.前鎮區一心一路氣爆受災戶自救會
1,890.37460069981,632.36060090042,會長。
1,890.37460069981,663.5606008955,三.康健長青協會總幹事。
1,890.37460069981,694.76060089059,四.冠軍汽車修護廠負責人。
1,584.05380013107,534.08639991589,台灣省嘉義市
1,472.39540060601,558.94919991198,43
1,472.39540060601,587.42920040749,年
1,480.09540010774,617.95919990268,5
1,472.39540060601,646.4392003982,月
1,472.39540060601,676.96919989339,12
1,472.39540060601,705.44920038891,日
1,682.57740015318,638.57399989944,高工肄業
1,382.60860008586,517.31279991853,"蔡 萬 春"
1,1353.4498008037,538.74839991516,一.運用社區活動中心及各寺廟等空間，建立關懷據點，照護老幼及弱
1,1353.4498008037,569.94839991024,勢團體。
1,1353.4498008037,601.14839990533,二.爭取里內每月急難救（慰）助金。
1,1353.4498008037,632.34839990042,三.定期實施社區大掃除及消毒作業，以維居民健康。
1,1353.4498008037,663.5483998955,四.廣設社區監視系統促進居家安全空間。
1,1353.4498008037,694.74839989059,五.其他緊急臨託事項，二十四小時不打烊。
1,1353.4498008037,725.94839988568,六.推動藝術公園，經常性辦理藝文活動，提升社區文化。
1,246.70800005537,1227.1139998068,1532　樂群國小美勞教室　育樂路61號　竹南里1-13鄰（7、8鄰空鄰）　原住民
1,246.70800005537,1248.7919998033,1533　樂群國小多功能教室　育樂路61號　竹南里14-27鄰（18、23、26鄰空鄰）
1,246.70800005537,1270.4699997999,1534　民權國小一年一班教室　沱江街200號　竹南里28-30、35-36鄰
1,246.70800005537,1292.1479997965,1535　民權國小一年三班教室　沱江街200號　竹南里31-34鄰
1,361.76800058119,300.76600045264,前鎮區
